site,area,Lon,Lat,X_tm35fin,Y_tm35fin
AIL164,KIL,20.997682060000006,68.99825328999998,260249.43901411162,7665904.787854572
AIL165,KIL,21.003231130000003,68.99701183999998,260456.961982608,7665745.2371929325
AIL166,KIL,21.020564450000002,68.99742386999999,261151.94576453167,7665723.375797851
AIL167,KIL,21.0342669,68.99809734999998,261705.10982449545,7665744.854046308
AIL168,KIL,21.043323030000003,69.00014233999998,262087.99778898965,7665936.794171417
AIL169,KIL,21.05079194,69.00083395,262392.98190387024,7665984.640214866
AIL170,KIL,21.07120384,68.99808808999998,263176.4803467011,7665600.720067553
AIL171,KIL,20.95634041,69.00111050000002,258634.03860988806,7666384.268248081
AIL172,KIL,20.96334497000001,68.99906249,258890.5556095364,7666129.290868057
AIL173,KIL,20.98370667,69.00236601999998,259737.68364488924,7666416.203699036
AIL174,KIL,20.995606150000004,68.99990516999999,260184.76000555433,7666096.345787927
AIL175,KIL,21.00316036,69.00403323,260530.6117290818,7666525.239326918
AIL176,KIL,21.0156135,69.00320283,261017.5233940921,7666384.434185944
AIL177,KIL,21.028107090000002,69.00450425,261529.2134228822,7666480.316242368
AIL178,KIL,21.049492800000003,69.00180276,262351.7040068399,7666097.268334895
AIL179,KIL,21.053050830000004,69.00536596999999,262531.90696955525,7666479.203461492
AIL180,KIL,21.06691407,69.00643182,263095.4895804811,7666543.946306657
AIL181,KIL,20.960030350000004,69.00672318999999,258842.56460416393,7666992.999411872
AIL182,KIL,20.97284253,69.00695953,259355.29444429584,7666968.902596781
AIL183,KIL,20.9837326,69.00813334999998,259801.7328267549,7667056.54726183
AIL184,KIL,20.993419470000006,69.00709928999997,260176.14141035127,7666903.796613487
AIL185,KIL,21.004541500000002,69.00843139999999,260633.50483322353,7667008.263503856
AIL186,KIL,21.019635,69.00910862,261241.82945200783,7667024.617749183
AIL187,KIL,21.02790211,69.00522295,261528.8454399887,7666560.927857403
AIL188,KIL,21.043653090000007,69.00936929999999,262200.9595223537,7666960.224307807
AIL189,KIL,21.0537316,69.00753263,262582.4169935224,7666717.191209459
AIL190,KIL,21.066061370000003,69.00669665999999,263064.38674843055,7666576.65424704
AIL191,KIL,20.9544821,69.00940481999999,258651.09624281744,7667312.607797175
AIL192,KIL,20.972465730000003,69.00829927999999,259354.95777391063,7667119.154595794
AIL193,KIL,20.976297390000003,69.00887691,259513.83313660053,7667168.263534134
AIL194,KIL,20.99165425,69.00855412,260121.72980498322,7667072.258769204
AIL195,KIL,21.001271370000005,69.01018395,260522.3955453644,7667215.654199717
AIL196,KIL,21.014176779999996,69.00992184000002,261033.34896005524,7667136.192301281
AIL197,KIL,21.02917116,69.01088224,261640.75350047386,7667184.479174523
AIL198,KIL,21.034943170000002,69.01036177,261864.91605625104,7667104.249301086
AIL199,KIL,21.05876743,69.0143648,262856.66988284327,7667456.469559285
AIL200,KIL,21.063866090000005,69.01482749999997,263064.6275973948,7667488.143753203
MAL001,KIL,20.641323390000004,69.04858854999998,246639.07281559773,7672926.403931714
MAL002,KIL,20.65907965,69.05113149,247373.70155236206,7673135.359440764
MAL003,KIL,20.67709771,69.04876058,248062.14033792337,7672798.025478857
MAL004,KIL,20.68624574,69.0519806,248462.47633715454,7673117.871895267
MAL005,KIL,20.691065400000003,69.05201916000001,248654.35191421318,7673102.378657364
MAL006,KIL,20.709189410000004,69.05340278999998,249390.04840917522,7673181.745789544
MAL007,KIL,20.723431920000003,69.05291696999998,249950.19750662375,7673069.64341377
MAL008,KIL,20.73953982,69.05149265,250573.80546868008,7672845.896176597
MAL009,KIL,20.747006690000003,69.0523541,250880.20003586062,7672911.156130809
MAL010,KIL,20.7633327,69.05422046999999,251549.85489411335,7673052.073117215
MAL011,KIL,20.64082362,69.05447224,246687.1902214433,7673581.519778392
MAL012,KIL,20.660923100000005,69.05181424,247454.7843148801,7673203.544664052
MAL013,KIL,20.674371710000003,69.05543079999998,248030.50152476417,7673549.618850612
MAL014,KIL,20.67931061,69.0550377,248222.1231952261,7673485.687173639
MAL015,KIL,20.70074063,69.05755774999999,249102.0309206517,7673677.5292300265
